tender_no,award_date,awarded_amt,tender_detail_status,tender_date,tender_value,LDA_Category
HDB000ETT23000151,28/9/2023,189000,Awarded to Suppliers,2023-09-28,189000,General Procurement - Goods
HDB000ETT23000152,14/12/2023,18380000,Awarded to Suppliers,2023-12-14,18380000,Engineering Procurement - Goods
HDB000ETT23000154,1/3/2024,1859000,Awarded to Suppliers,2024-03-01,1859000,Engineering Procurement - Goods
HDB000ETT23000155,29/12/2023,650000,Awarded to Suppliers,2023-12-29,650000,General Procurement - Goods
HDB000ETT23000156,27/9/2023,150000,Awarded to Suppliers,2023-09-27,150000,General Procurement - Goods
HDB000ETT23000157,3/11/2023,1864400,Awarded to Suppliers,2023-11-03,1864400,Engineering Procurement - Goods
HDB000ETT23000158,10/10/2023,90.88,Awarded to Suppliers,2023-10-10,90.88,Engineering Procurement - Goods
HDB000ETT23000159,6/10/2023,80000,Awarded to Suppliers,2023-10-06,80000,Engineering Procurement - Goods
HDB000ETT23000160,24/10/2023,0.1,Awarded to Suppliers,2023-10-24,0.1,PPP Procurement - DBO
HDB000ETT23000161,5/9/2023,116670,Awarded to Suppliers,2023-09-05,116670,PPP Procurement - DBFO
HDB000ETT23000163,22/9/2023,105000,Awarded to Suppliers,2023-09-22,105000,Engineering Procurement - Goods
HDB000ETT23000164,29/9/2023,20.77,Awarded to Suppliers,2023-09-29,20.77,PPP Procurement - DBFO
HDB000ETT23000165,17/11/2023,25.28,Awarded to Suppliers,2023-11-17,25.28,PPP Procurement - DBFO
HDB000ETT23000166,11/10/2023,2153,Awarded to Suppliers,2023-10-11,2153,PPP Procurement - DBO
HDB000ETT23000168,15/11/2023,840000,Awarded to Suppliers,2023-11-15,840000,PPP Procurement - DBFO
HDB000ETT23000171,17/10/2023,198000,Awarded to Suppliers,2023-10-17,198000,General Procurement - Services
HDB000ETT23000174,28/11/2023,2700,Awarded to Suppliers,2023-11-28,2700,Engineering Procurement - Goods
HDB000ETT23000175,29/12/2023,293730000,Awarded to Suppliers,2023-12-29,293730000,Engineering Procurement - Goods
HDB000ETT23000176,29/12/2023,282380000,Awarded to Suppliers,2023-12-29,282380000,Engineering Procurement - Goods
HDB000ETT23000177,29/12/2023,606000000,Awarded to Suppliers,2023-12-29,6.0608,Engineering Procurement - Goods
HDB000ETT23000178,8/1/2024,19388,Awarded to Suppliers,2024-01-08,19388,Engineering Procurement - Goods
HDB000ETT23000179,29/12/2023,283000000,Awarded to Suppliers,2023-12-29,2.8308,Engineering Procurement - Goods
HDB000ETT23000181,20/11/2023,1368,Awarded to Suppliers,2023-11-20,1368,Engineering Procurement - Goods
HDB000ETT23000182,22/11/2023,215723.2,Awarded to Suppliers,2023-11-22,215723.2,Engineering Procurement - EPC
HDB000ETT23000183,16/2/2024,15450000,Awarded to Suppliers,2024-02-16,15450000,Engineering Procurement - Goods
HDB000ETT23000184,1/2/2024,1006700,Awarded to Suppliers,2024-02-01,1006700,General Procurement - Goods
HDB000ETT23000185,29/11/2023,12230,Awarded to Suppliers,2023-11-29,12230,Engineering Procurement - Goods
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000186,20/10/2023,1,Awarded by Items,2023-10-20,1,PPP Procurement - DBFO
HDB000ETT23000187,22/11/2023,78598.36,Awarded to Suppliers,2023-11-22,78598.36,Engineering Procurement - Goods
HDB000ETT23000188,22/1/2024,332143,Awarded to Suppliers,2024-01-22,332143,Engineering Procurement - Services
HDB000ETT23000189,21/12/2023,5072420,Awarded to Suppliers,2023-12-21,5072420,Engineering Procurement - Goods
HDB000ETT23000190,22/12/2023,2969324,Awarded to Suppliers,2023-12-22,2969324,Engineering Procurement - Goods
HDB000ETT23000192,29/12/2023,8970000,Awarded to Suppliers,2023-12-29,8970000,Engineering Procurement - Goods
HDB000ETT23000193,31/10/2023,253000,Awarded to Suppliers,2023-10-31,253000,Engineering Procurement - Goods
HDB000ETT23000194,31/1/2024,97555555,Awarded to Suppliers,2024-01-31,97555555,Engineering Procurement - Goods
HDB000ETT23000195,31/1/2024,301600000,Awarded to Suppliers,2024-01-31,301600000,Engineering Procurement - Goods
HDB000ETT23000197,18/12/2023,2083800,Awarded to Suppliers,2023-12-18,2083800,Engineering Procurement - Goods
HDB000ETT23000198,1/12/2023,580286,Awarded to Suppliers,2023-12-01,580286,Engineering Procurement - Goods
HDB000ETT23000200,8/12/2023,90000,Awarded to Suppliers,2023-12-08,90000,PPP Procurement - DBFO
HDB000ETT23000201,21/12/2023,5.97,Awarded to Suppliers,2023-12-21,5.97,General Procurement - Services
HDB000ETT23000202,11/12/2023,86.48,Awarded to Suppliers,2023-12-11,86.48,Engineering Procurement - Goods
HDB000ETT23000203,19/1/2024,11800,Awarded to Suppliers,2024-01-19,11800,General Procurement - Services
HDB000ETT23000204,4/1/2024,2150,Awarded to Suppliers,2024-01-04,2150,Engineering Procurement - Goods
HDB000ETT23000205,29/1/2024,2460,Awarded to Suppliers,2024-01-29,2460,Engineering Procurement - Goods
HDB000ETT23000206,2/2/2024,2560,Awarded to Suppliers,2024-02-02,2560,Engineering Procurement - Goods
HDB000ETT23000207,14/3/2024,24150000,Awarded to Suppliers,2024-03-14,24150000,PPP Procurement - DBFO
HDB000ETT23000208,4/1/2024,16701.48,Awarded to Suppliers,2024-01-04,16701.48,Engineering Procurement - Services
HDB000ETT23000209,1/3/2024,201722.67,Awarded to Suppliers,2024-03-01,201722.67,General Procurement - Goods
HDB000ETT23000210,8/1/2024,1227400,Awarded to Suppliers,2024-01-08,1227400,Engineering Procurement - Services
HDB000ETT23000211,31/1/2024,2220,Awarded to Suppliers,2024-01-31,2220,Engineering Procurement - Goods
HDB000ETT23000213,29/2/2024,175100000,Awarded to Suppliers,2024-02-29,175100000,Engineering Procurement - Goods
HDB000ETT23000218,16/2/2024,14676860,Awarded to Suppliers,2024-02-16,14676860,Engineering Procurement - Goods
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000220,11/12/2023,1,Awarded by Items,2023-12-11,1,PPP Procurement - DBFO
HDB000ETT23000221,29/2/2024,190000000,Awarded to Suppliers,2024-02-29,1.908,Engineering Procurement - Goods
HDB000ETT23000222,11/1/2024,2660000,Awarded to Suppliers,2024-01-11,2660000,PPP Procurement - DBFO
HDB000ETT23000223,29/1/2024,627954.5,Awarded to Suppliers,2024-01-29,627954.5,PPP Procurement - DBFO
HDB000ETT23000224,4/12/2023,58000,Awarded to Suppliers,2023-12-04,58000,PPP Procurement - DBFO
HDB000ETT23000225,28/11/2023,22000,Awarded to Suppliers,2023-11-28,22000,Engineering Procurement - Goods
HDB000ETT23000226,27/2/2024,1695049,Awarded to Suppliers,2024-02-27,1695049,Engineering Procurement - Goods
HDB000ETT23000227,22/2/2024,475,Awarded to Suppliers,2024-02-22,475,Engineering Procurement - Goods
HDB000ETT23000230,8/12/2023,19080,Awarded to Suppliers,2023-12-08,19080,Engineering Procurement - Goods
HDB000ETT23000231,28/12/2023,118500,Awarded to Suppliers,2023-12-28,118500,PPP Procurement - DBO
HDB000ETT23000232,7/3/2024,249500000,Awarded to Suppliers,2024-03-07,249500000,Engineering Procurement - Goods
HDB000ETT23000233,29/2/2024,307800000,Awarded to Suppliers,2024-02-29,307800000,Engineering Procurement - Goods
HDB000ETT23000234,5/1/2024,185193,Awarded to Suppliers,2024-01-05,185193,Engineering Procurement - Goods
HDB000ETT23000235,4/12/2023,46800,Awarded to Suppliers,2023-12-04,46800,PPP Procurement - DBFO
HDB000ETT23000237,29/12/2023,119979,Awarded to Suppliers,2023-12-29,119979,PPP Procurement - DBFO
HDB000ETT23000238,29/12/2023,1600000,Awarded to Suppliers,2023-12-29,1600000,Engineering Procurement - Goods
HDB000ETT23000250,4/1/2024,179,Awarded to Suppliers,2024-01-04,179,PPP Procurement - DBFO
HDB000ETT23000251,8/3/2024,9770000,Awarded to Suppliers,2024-03-08,9770000,Engineering Procurement - Goods
HDB000ETT23000253,15/12/2023,9158,Awarded by Items,2023-12-15,9158,Engineering Procurement - Goods
HDB000ETT23000253,15/12/2023,9158,Awarded by Items,2023-12-15,9158,Engineering Procurement - Goods
HDB000ETT23000254,13/3/2024,21490755,Awarded to Suppliers,2024-03-13,21490755,Engineering Procurement - Goods
HDB000ETT23000256,6/3/2024,15525,Awarded by Items,2024-03-06,15525,PPP Procurement - DBFO
HDB000ETT23000256,6/3/2024,5151.5,Awarded by Items,2024-03-06,5151.5,PPP Procurement - DBFO
HDB000ETT23000256,6/3/2024,4559,Awarded by Items,2024-03-06,4559,PPP Procurement - DBFO
HDB000ETT23000256,6/3/2024,9787,Awarded by Items,2024-03-06,9787,PPP Procurement - DBFO
HDB000ETT23000256,6/3/2024,14450,Awarded by Items,2024-03-06,14450,PPP Procurement - DBFO
HDB000ETT23000256,6/3/2024,14790,Awarded by Items,2024-03-06,14790,PPP Procurement - DBFO
HDB000ETT23000258,18/12/2023,1736,Awarded to Suppliers,2023-12-18,1736,PPP Procurement - DBO
HDB000ETT23000260,6/3/2024,6088651,Awarded to Suppliers,2024-03-06,6088651,Engineering Procurement - Goods
HDB000ETT23000262,1/2/2024,56196,Awarded to Suppliers,2024-02-01,56196,PPP Procurement - DBFO
HDB000ETT23000264,6/3/2024,1442400,Awarded to Suppliers,2024-03-06,1442400,Engineering Procurement - Goods
HDB000ETT23000266,15/3/2024,21.17,Awarded to Suppliers,2024-03-15,21.17,PPP Procurement - DBFO
HDB000ETT23000267,18/12/2023,119000,Awarded to Suppliers,2023-12-18,119000,Engineering Procurement - Goods
HDB000ETT23000269,11/3/2024,509474,Awarded to Suppliers,2024-03-11,509474,PPP Procurement - DBFO
HDB000ETT23000272,28/2/2024,83.1,Awarded to Suppliers,2024-02-28,83.1,Engineering Procurement - Goods
HDB000ETT23000277,23/2/2024,23.11,Awarded to Suppliers,2024-02-23,23.11,PPP Procurement - DBFO
HDB000ETT23000278,29/1/2024,242400,Awarded to Suppliers,2024-01-29,242400,Engineering Procurement - EPC
HDB000ETT23000280,19/2/2024,7099.79,Awarded to Suppliers,2024-02-19,7099.79,Engineering Procurement - Goods
HDB000ETT23000282,22/3/2024,698880,Awarded to Suppliers,2024-03-22,698880,General Procurement - Services
HDB000ETT23000283,28/2/2024,3296,Awarded to Suppliers,2024-02-28,3296,Engineering Procurement - Goods
HDB000ETT23000287,1/2/2024,320000,Awarded to Suppliers,2024-02-01,320000,Engineering Procurement - Services
HDB000ETT23000292,19/2/2024,1282280,Awarded to Suppliers,2024-02-19,1282280,Engineering Procurement - Goods
HDB000ETT23000296,7/2/2024,88000,Awarded to Suppliers,2024-02-07,88000,General Procurement - Goods
HDB000ETT23000297,26/3/2024,135000,Awarded to Suppliers,2024-03-26,135000,PPP Procurement - DBO
HDB000ETT23000310,29/2/2024,76474,Awarded to Suppliers,2024-02-29,76474,Engineering Procurement - Goods
HDB000ETT24000006,20/2/2024,147000,Awarded to Suppliers,2024-02-20,147000,PPP Procurement - DBFO
HDB000ETT24000013,18/3/2024,316188,Awarded to Suppliers,2024-03-18,316188,PPP Procurement - DBFO
HDB000ETT24000016,25/3/2024,176630,Awarded to Suppliers,2024-03-25,176630,General Procurement - Goods
HLTHQ0ETT18300062,24/7/2019,64750000,Awarded to Suppliers,2019-07-24,64750000,Engineering Procurement - Services
HLTHQ0ETT18300064,15/5/2019,1,Awarded to Suppliers,2019-05-15,1,Engineering Procurement - Services
HLTHQ0ETT18300067,31/7/2019,32798800,Awarded to Suppliers,2019-07-31,32798800,Engineering Procurement - Services
HLTHQ0ETT18300068,2/5/2019,20519077,Awarded to Suppliers,2019-05-02,20519077,Engineering Procurement - Goods
HLTHQ0ETT18300070,22/5/2019,4822328,Awarded to Suppliers,2019-05-22,4822328,Engineering Procurement - Services
HLTHQ0ETT18300073,15/4/2019,400000,Awarded to Suppliers,2019-04-15,405,Engineering Procurement - EPC
HLTHQ0ETT18300074,3/4/2019,10810554.67,Awarded to Suppliers,2019-04-03,10810554.67,Engineering Procurement - Services
HLTHQ0ETT18300075,24/10/2019,2,Awarded by Items,2019-10-24,2,PPP Procurement - DBFO
HLTHQ0ETT18300075,24/10/2019,2,Awarded by Items,2019-10-24,2,PPP Procurement - DBFO
HLTHQ0ETT18300075,24/10/2019,2,Awarded by Items,2019-10-24,2,PPP Procurement - DBFO
HLTHQ0ETT18300076,3/4/2019,2616260,Awarded to Suppliers,2019-04-03,2616260,Engineering Procurement - Services
HLTHQ0ETT18300077,23/7/2019,1,Awarded to Suppliers,2019-07-23,1,General Procurement - Services
HLTHQ0ETT19300001,17/5/2019,36553800,Awarded to Suppliers,2019-05-17,36553800,Engineering Procurement - Goods
HLTHQ0ETT19300002,30/4/2019,260015,Awarded to Suppliers,2019-04-30,260015,Engineering Procurement - Services
HLTHQ0ETT19300003,15/7/2019,1388000,Awarded to Suppliers,2019-07-15,1388000,Engineering Procurement - Services
HLTHQ0ETT19300004,31/5/2019,49920,Awarded to Suppliers,2019-05-31,49920,Engineering Procurement - Services
HLTHQ0ETT19300005,6/6/2019,607000,Awarded to Suppliers,2019-06-06,607000,Engineering Procurement - Services
HLTHQ0ETT19300006,6/5/2019,77701,Awarded to Suppliers,2019-05-06,77701,General Procurement - Goods
HLTHQ0ETT19300007,26/9/2019,27277743.27,Awarded to Suppliers,2019-09-26,27277743.27,Engineering Procurement - Services
HLTHQ0ETT19300008,11/7/2019,4309193,Awarded to Suppliers,2019-07-11,4309193,Engineering Procurement - Services
HLTHQ0ETT19300009,5/7/2019,1142000,Awarded to Suppliers,2019-07-05,1142000,Engineering Procurement - Services
HLTHQ0ETT19300010,5/7/2019,330000,Awarded to Suppliers,2019-07-05,330000,Engineering Procurement - Services
HLTHQ0ETT19300011,30/7/2019,8280,Awarded by Items,2019-07-30,8280,Engineering Procurement - Services
HLTHQ0ETT19300011,30/7/2019,310500,Awarded by Items,2019-07-30,310500,Engineering Procurement - Services
HLTHQ0ETT19300012,17/6/2019,198000,Awarded to Suppliers,2019-06-17,198000,Engineering Procurement - Services
HLTHQ0ETT19300014,17/9/2019,1,Awarded to Suppliers,2019-09-17,1,Engineering Procurement - Services
HLTHQ0ETT19300015,4/6/2019,217100,Awarded to Suppliers,2019-06-04,217100,Engineering Procurement - Services
HLTHQ0ETT19300016,5/7/2019,1788000,Awarded to Suppliers,2019-07-05,1788000,Engineering Procurement - Services
HLTHQ0ETT19300017,25/6/2019,7779534,Awarded to Suppliers,2019-06-25,7779534,Engineering Procurement - Services
HLTHQ0ETT19300019,14/8/2019,150000,Awarded to Suppliers,2019-08-14,150000,Engineering Procurement - Services
HLTHQ0ETT19300020,24/6/2019,986000,Awarded to Suppliers,2019-06-24,986000,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300022,23/9/2019,6940000,Awarded to Suppliers,2019-09-23,6940000,Engineering Procurement - Services
HLTHQ0ETT19300023,25/10/2019,2844342,Awarded to Suppliers,2019-10-25,2844342,Engineering Procurement - Services
HLTHQ0ETT19300024,7/10/2019,686565,Awarded by Items,2019-10-07,686565,Engineering Procurement - Services
HLTHQ0ETT19300024,7/10/2019,20086762,Awarded by Items,2019-10-07,20086762,Engineering Procurement - Services
HLTHQ0ETT19300025,5/9/2019,452000,Awarded to Suppliers,2019-09-05,452000,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,3330,Awarded by Items,2019-09-20,3330,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,1760,Awarded by Items,2019-09-20,1760,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,3600,Awarded by Items,2019-09-20,3600,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,3000,Awarded by Items,2019-09-20,3000,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,2700,Awarded by Items,2019-09-20,2700,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,3120,Awarded by Items,2019-09-20,3120,Engineering Procurement - Services
HLTHQ0ETT19300026,20/9/2019,2800,Awarded by Items,2019-09-20,2800,Engineering Procurement - Services
HLTHQ0ETT19300027,25/9/2019,698000,Awarded to Suppliers,2019-09-25,698000,Engineering Procurement - Services
HLTHQ0ETT19300028,19/11/2019,77312744,Awarded to Suppliers,2019-11-19,77312744,Engineering Procurement - Services
HLTHQ0ETT19300029,16/12/2019,59175149,Awarded to Suppliers,2019-12-16,59175149,Engineering Procurement - Services
HLTHQ0ETT19300032,27/11/2019,5285000,Awarded to Suppliers,2019-11-27,5285000,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300034,1/12/2019,1,Awarded by Items,2019-12-01,1,Engineering Procurement - Services
HLTHQ0ETT19300035,15/1/2020,1,Awarded to Suppliers,2020-01-15,1,Engineering Procurement - Services
HLTHQ0ETT19300036,11/10/2019,300000,Awarded to Suppliers,2019-10-11,305,Engineering Procurement - Services
HLTHQ0ETT19300037,15/10/2019,122257.5,Awarded to Suppliers,2019-10-15,122257.5,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,3630,Awarded by Items,2019-11-21,3630,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,21150,Awarded by Items,2019-11-21,21150,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,33900,Awarded by Items,2019-11-21,33900,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,10650,Awarded by Items,2019-11-21,10650,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,3360,Awarded by Items,2019-11-21,3360,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,23970,Awarded by Items,2019-11-21,23970,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,30600,Awarded by Items,2019-11-21,30600,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,6700,Awarded by Items,2019-11-21,6700,Engineering Procurement - Services
HLTHQ0ETT19300038,21/11/2019,23700,Awarded by Items,2019-11-21,23700,Engineering Procurement - Services
HLTHQ0ETT19300039,7/11/2019,235000,Awarded to Suppliers,2019-11-07,235000,General Procurement - Goods
HLTHQ0ETT19300040,25/3/2020,10308560,Awarded to Suppliers,2020-03-25,10308560,PPP Procurement - DBO
HLTHQ0ETT19300041,2/1/2020,1,Awarded to Suppliers,2020-01-02,1,Engineering Procurement - Services
HLTHQ0ETT19300043,30/12/2019,23873100,Awarded to Suppliers,2019-12-30,23873100,Engineering Procurement - Goods
HLTHQ0ETT19300044,13/3/2020,8594.41,Awarded by Items,2020-03-13,8594.41,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,4219.49,Awarded by Items,2020-03-13,4219.49,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,1018.65,Awarded by Items,2020-03-13,1018.65,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,1881.62,Awarded by Items,2020-03-13,1881.62,Engineering Procurement - EPC
HLTHQ0ETT20300039,11/12/2020,165312,Awarded to Suppliers,2020-12-11,165312,Engineering Procurement - Services
HLTHQ0ETT19300044,13/3/2020,3243.93,Awarded by Items,2020-03-13,3243.93,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,1344.03,Awarded by Items,2020-03-13,1344.03,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,1492.15,Awarded by Items,2020-03-13,1492.15,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,1174.02,Awarded by Items,2020-03-13,1174.02,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,22799.33,Awarded by Items,2020-03-13,22799.33,Engineering Procurement - EPC
HLTHQ0ETT19300044,13/3/2020,9338.92,Awarded by Items,2020-03-13,9338.92,Engineering Procurement - EPC
HLTHQ0ETT19300045,23/12/2019,465000,Awarded to Suppliers,2019-12-23,465000,General Procurement - Services
HLTHQ0ETT19300046,10/4/2020,340000,Awarded to Suppliers,2020-04-10,340000,Engineering Procurement - Services
HLTHQ0ETT19300047,11/5/2020,1,Awarded to Suppliers,2020-05-11,1,Engineering Procurement - Services
HLTHQ0ETT19300048,28/5/2020,1,Awarded to Suppliers,2020-05-28,1,Engineering Procurement - Services
HLTHQ0ETT19300049,13/3/2020,10150820,Awarded to Suppliers,2020-03-13,10150820,Engineering Procurement - Services
HLTHQ0ETT19300050,6/4/2020,1,Awarded to Suppliers,2020-04-06,1,Engineering Procurement - Services
HLTHQ0ETT19300051,7/9/2020,6132535,Awarded to Suppliers,2020-09-07,6132535,PPP Procurement - DBO
HLTHQ0ETT19300052,9/4/2020,3032000,Awarded to Suppliers,2020-04-09,3032000,Engineering Procurement - EPC
HLTHQ0ETT19300053,4/3/2020,3125396.4,Awarded to Suppliers,2020-03-04,3125396.4,Engineering Procurement - Services
HLTHQ0ETT19300054,24/2/2020,248000,Awarded to Suppliers,2020-02-24,248000,Engineering Procurement - Services
HLTHQ0ETT19300055,20/3/2020,445000,Awarded to Suppliers,2020-03-20,445000,Engineering Procurement - Goods
HLTHQ0ETT19300056,16/2/2021,3643800,Awarded to Suppliers,2021-02-16,3643800,Engineering Procurement - Services
HLTHQ0ETT19300057,5/8/2020,33141600,Awarded to Suppliers,2020-08-05,33141600,Engineering Procurement - Goods
HLTHQ0ETT19300058,26/5/2020,1,Awarded to Suppliers,2020-05-26,1,Engineering Procurement - Services
HLTHQ0ETT20300001,30/4/2020,458000,Awarded to Suppliers,2020-04-30,458000,Engineering Procurement - Services
HLTHQ0ETT21000001,11/2/2021,1416360,Awarded by Items,2021-02-11,1416360,Engineering Procurement - Services
