tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
ESG000ETT21000004,provision of market intelligence platform for food industry market insights for 1 year with option to extend for 1 year,Enterprise Singapore,14/6/2021,Awarded to Suppliers,MINTEL (CONSULTING) SINGAPORE PTE. LTD.,79310
ESG000ETT21000006,appointment of a panel of team building vendors for enterprise singapore,Enterprise Singapore,9/9/2021,Awarded by Items,CAMELOT PTE. LTD.,76250
ESG000ETT21000007,study on the impact of key trends on manpower in singapores food manufacturing sector,Enterprise Singapore,17/8/2021,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,488000
ESG000ETT21000008,appointment of a panel of legal advisors to provide legal advisory services,Enterprise Singapore,28/9/2021,Awarded by Items,CENTRAL CHAMBERS LAW CORPORATION,436590
ESG000ETT21000009,period contract and framework agreement for deal facilitation services,Enterprise Singapore,8/9/2021,Awarded to Suppliers,ACCELERATING ASIA PTE. LTD.,348075
ESG000ETT21000010,outsourcing of transaction processing accounting and corporate secretarial services,Enterprise Singapore,10/9/2021,Awarded to Suppliers,TRICOR SINGAPORE PTE. LTD.,1077105.13
ESG000ETT21000011,provision of enterprise risk management consultancy services for enterprise singapore,Enterprise Singapore,15/7/2021,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,78000
ESG000ETT21000012,provision of virtual platform for singapore week of innovation and technology 2021,Enterprise Singapore,14/7/2021,Awarded to Suppliers,Hubilo Technologies Inc,299115
ESG000ETT21000013,panel of executive coaches for enterprise singapore,Enterprise Singapore,16/9/2021,Awarded by Items,ALIGN SMA PTE. LTD.,78750
ESG000ETT21000014,appointment of technical evaluators to conduct technical due diligence of deep tech proposals submitted under startup sg tech,Enterprise Singapore,14/9/2021,Awarded to Suppliers,IPOS INTERNATIONAL PTE. LTD.,750000
ESG000ETT21000015,provision of a consolidated application systems maintenance and support services,Enterprise Singapore,11/1/2022,Awarded to Suppliers,NCS PTE. LTD.,4468540
ESG000ETT21000017,provision of outsourced drivers,Enterprise Singapore,27/1/2022,Awarded to Suppliers,C & P RENT-A-CAR (PTE.) LTD.,366576
ESG000ETT21000018,provision for offsite storage retrieval destruction and disposal services,Enterprise Singapore,21/1/2022,Awarded to Suppliers,CROWN WORLDWIDE PTE LTD,248850
ESG000ETT21000020,appointment of outsourced vendor for payroll employee benefits claims processing and other hr services,Enterprise Singapore,14/12/2021,Awarded to Suppliers,ADECCO PERSONNEL PTE LTD,532413.02
ESG000ETT21000021,appointment of external tax consultant for tax services for a period of three years with the option to extend for another two years,Enterprise Singapore,18/2/2022,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,542450
ESG000ETT21000022,fish export study,Enterprise Singapore,30/3/2022,Awarded to Suppliers,HATCH BLUE (SINGAPORE) PTE. LTD.,85000
ESG000ETT21000023,provision of external audit services for financial year 2022 with an option to extend external audit services for another four 4 years,Enterprise Singapore,19/8/2022,Awarded to Suppliers,DELOITTE & TOUCHE LLP,438000
ESG000ETT21000025,2021 manpower study of the food services industry,Enterprise Singapore,19/5/2022,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,678000
ESG000ETT22000001,survey on singapores financing landscape and understanding the financing needs of enterprises in singapore,Enterprise Singapore,26/4/2022,Awarded to Suppliers,DUN & BRADSTREET (SINGAPORE) PTE. LTD.,210000
ESG000ETT22000002,appointment of event partner for organising and execution of singapore week of innovation and technology switch,Enterprise Singapore,30/6/2022,Awarded to Suppliers,MP SINGAPORE PTE. LTD.,5157586.21
ESG000ETT22000003,provision of enforcement services for the conduct of periodic spot checks 1 year  2 years,Enterprise Singapore,19/8/2022,Awarded to Suppliers,APRO-ASIAN PROTECTION PTE LTD,177360
ESG000ETT22000004,period contract and framework agreement pcfa for open innovation facilitation services,Enterprise Singapore,2/9/2022,Awarded by Items,AGORIZE SINGAPORE PTE. LTD.,1125000
ESG000ETT22000006,provision of tabletop coffee dispensing machines and pantry supplies,Enterprise Singapore,10/11/2022,Awarded to Suppliers,DAIOHS SINGAPORE PTE. LTD.,108000
ESG000ETT22000009,multiprotocol label switching mpls private cloud for three years with an option for additional one year,Enterprise Singapore,22/9/2022,Awarded to Suppliers,CHINA UNICOM (SINGAPORE) OPERATIONS PTE. LTD.,444240
ESG000ETT22000010,appointment of a vendor to provide tax advisory on enterprise singapore tax schemes and international tax matters,Enterprise Singapore,25/10/2022,Awarded to Suppliers,EY CORPORATE ADVISORS PTE. LTD.,144000
ESG000ETT22000011,appointment of a public relations agency for enterprise singapore in the area of innovation and startups,Enterprise Singapore,5/9/2022,Awarded to Suppliers,THE HOFFMAN AGENCY ASIA PACIFIC PTE LTD,78000
ESG000ETT22000012,appointment of a vendor to develop the tac governance framework 2022,Enterprise Singapore,11/10/2022,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,190000
ESG000ETT22000015,provision of snacks and beverage vending machine service and rental of vending machine,Enterprise Singapore,31/10/2022,Awarded to Suppliers,LE TACH VENDING PTE. LTD.,776533
ESG000ETT22000016,appointment of auditor for claims audit under the start digital 20 programme,Enterprise Singapore,17/10/2022,Awarded to Suppliers,NEXIA SINGAPORE PAC,29625
ESG000ETT22000019,governance audit assessment for sme centres 2022,Enterprise Singapore,16/2/2023,Awarded to Suppliers,RSM SG RISK ADVISORY PTE. LTD.,149500
ESG000ETT22000020,appointment of insurance broker for usocs health and dental insurance,Enterprise Singapore,29/11/2022,Awarded to Suppliers,Brown & Brown of Garden City Inc,1.44
ESG000ETT22000021,appointment of vendor for the provision of licence maintenance and support service for adobe analytics,Enterprise Singapore,28/12/2022,Awarded by Items,ATTRIBUTE DATA PTE. LTD.,169140
ESG000ETT22000022,appointment of vendor to provide office renovation works at shanghai singapore centre shanghai sc,Enterprise Singapore,30/3/2023,Awarded to Suppliers,Prowise (suzhou) Construction Technology CO.Ltd.,752600.7
ESG000ETT23000001,logistics sustainability study,Enterprise Singapore,2/8/2023,Awarded to Suppliers,EDEN STRATEGY INSTITUTE LLP,279500
ESG000ETT23000002,appointment of insurance broker to handle insurance coverage for enterprise singapore,Enterprise Singapore,30/6/2023,Awarded to Suppliers,MERCER HEALTH & BENEFITS (SINGAPORE) PTE. LTD.,1
ESG000ETT23000003,provision of enterprise singapore corporate website maintenance,Enterprise Singapore,31/7/2023,Awarded to Suppliers,VERTIS DIGITAL PTE. LTD.,721698.79
ESG000ETT23000004,appointment of insurance broker for dubai oc,Enterprise Singapore,14/8/2023,Awarded to Suppliers,Pearl Insurance Brokers Co LLC,0.39
ESG000ETT23000006,provision of consultancy services for sustainability reporting for enterprise singapore,Enterprise Singapore,14/11/2023,Awarded to Suppliers,ERNST & YOUNG LLP,136600
ESG000ETT23000007,subscription to an event management system ems,Enterprise Singapore,27/11/2023,Awarded to Suppliers,GLOBALSIGN.IN PTE. LTD.,1173050
ESG000ETT23000008,food services sustainability study,Enterprise Singapore,4/12/2023,Awarded to Suppliers,SOUTH POLE CARBON ASSET MANAGEMENT LTD,314000
ESG000ETT23000009,subscription of electronic direct mailer edm platform for enterprise singapore,Enterprise Singapore,21/11/2023,Awarded to Suppliers,INK AND PIXEL PTE. LTD.,95300
ESG000ETT23000010,provision of enterprisesgs disaster recovery facility for it infrastructure,Enterprise Singapore,16/11/2023,Awarded to Suppliers,ACCLIVIS TECHNOLOGIES AND SOLUTIONS PTE. LTD.,485542
ESG000ETT23000011,provision of failure analysis services,Enterprise Singapore,1/2/2024,Awarded by Items,ENVISTA FORENSICS PTE. LTD.,17183
ESG000ETT23000014,provision of retail vouchers for staff welfare benefits,Enterprise Singapore,30/11/2023,Awarded to Suppliers,VOLYTY PTE. LTD.,185250
ESG000ETT23000015,appointment of technical evaluator to conduct technical due diligence of deep tech proposals submitted under startup sg tech,Enterprise Singapore,26/2/2024,Awarded to Suppliers,IPOS INTERNATIONAL PTE. LTD.,1050000
ESG000ETT23000017,appointment of a service provider to process global ready talent programme grt claims,Enterprise Singapore,5/3/2024,Awarded to Suppliers,P-SERV PTE LTD,602000
ESG000ETT23000018,appointment of vendor to provide office renovation works at guangzhou singapore centre guangzhou sc,Enterprise Singapore,26/2/2024,Awarded to Suppliers,DECO DESIGN & CONSTRUCTION GROUP LTD.,387660
ESG000ETT23000019,appointment of auditor for post disbursement audit on support for equipment under capabilities development grant cdg enterprise development grant edg,Enterprise Singapore,1/2/2024,Awarded to Suppliers,CLA GLOBAL TS RISK ADVISORY PTE. LTD.,17100
ESG000ETT24000001,provision of outsourced drivers for enterprise singapore enterprisesg dubai oc,Enterprise Singapore,27/2/2024,Awarded to Suppliers,Fineline General Transport and Maintenance,116613.27
FINAGDETT18300002,tender for the provision of design supply installation migration testing and commissioning of ict infrastructure comprising hardware and systems applications in government data centre according to the requirement specifications in part 2 and under the instructions to tenderers and conditions of contract as provided in part 1 tenders are to be submitted in accordance with the instructions to tenderers in part 1,Ministry of Finance-Accountant-General's Department,5/4/2019,Awarded to Suppliers,NCS PTE. LTD.,19641301
FINAGDETT19300002,tender to procure peppol access point ap services,Ministry of Finance-Accountant-General's Department,27/6/2019,Awarded to Suppliers,SESAMI (SINGAPORE) PTE LTD,23062
FINAGDETT19300005,tender for the provision of the examination of the civil service pension fund for the accountantgenerals department agd and valuation model programs for liabilities for civil service and statutory boards,Ministry of Finance-Accountant-General's Department,18/12/2019,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,235000
FINAGDETT19300006,appointment of fund managers to provide fund management services to ministries government departments organs of state statutory boards and participating entities,Ministry of Finance-Accountant-General's Department,12/11/2020,Awarded by Items,ABRDN ASIA LIMITED,2
FINAGDETT19300008,tender for the provision of the neo4j enterprise edition licence as part of the development of the network analytics tool for the public sector finance,Ministry of Finance-Accountant-General's Department,26/2/2020,Awarded to Suppliers,OMEN PTE. LTD.,335426
FINAGDETT20300001,provision of audit services under a framework agreement for accountantgenerals department,Ministry of Finance-Accountant-General's Department,5/11/2020,Awarded by Items,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,2
FINAGDETT20300002,invitation to tender for application maintenance and support services for the accountantgenerals department agd,Ministry of Finance-Accountant-General's Department,14/7/2021,Awarded by Items,ACCENTURE SG SERVICES PTE. LTD.,5153898.01
FINAGDETT21000001,tender on framework agreement for provision of accounting advisory services to ministries and sbs,Ministry of Finance-Accountant-General's Department,10/1/2022,Awarded by Items,DELOITTE & TOUCHE LLP,2
FINAGDETT22000001,invitation to tender for appointment of auditors for the provision of services for the audit of ministries fixed assets records for fy2122,Ministry of Finance-Accountant-General's Department,18/5/2022,Awarded to Suppliers,DELOITTE & TOUCHE LLP,1582000
FINAGDETT22000003,invitation to tender for the development implementation and maintenance of unified audit management system,Ministry of Finance-Accountant-General's Department,6/10/2022,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,5082050
FINAGDETT22000005,procurement of access point ap services for a period of 5 years from 20 jan 2023 to 19 jan 2028,Ministry of Finance-Accountant-General's Department,15/9/2022,Awarded to Suppliers,SESAMI (SINGAPORE) PTE LTD,21300.02
FINAGDETT22000006,provision of pension administration and payment services to pensioners residing overseas,Ministry of Finance-Accountant-General's Department,22/12/2022,Awarded to Suppliers,DBS BANK LTD.,0.07
FINCEDETT19300002,this is an electronic gpacovered open tender for the supply and delivery of uniforms for singapore customs for a period of three years with options to extend for two additional years,Ministry of Finance - Singapore Customs,21/5/2019,Awarded to Suppliers,JOINT & Y ENTERPRISE PTE. LTD.,407410
FINCEDETT19300003,this is an electronic non gpacovered open tender for the provision of armed auxiliary police officers unarmed auxiliary police officers enforcement and marked vans to support customs field enforcement needs at various locations in singapore for 1 year with an option to extend on a yearly basis for up to 2 years,Ministry of Finance - Singapore Customs,29/4/2019,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,2999988
FINCEDETT19300005,tender for the provision of managed print services mps for singapore customs for a period of 3 years with an option to extend the contract for periods of up to a total of 2 additional years,Ministry of Finance - Singapore Customs,18/6/2019,Awarded to Suppliers,DATA DYNAMICS PTE. LTD.,321765.36
FINCEDETT19300006,this is an electronic gpacovered open tender for the provision of a perimeter security system and related maintenance services for singapore customs at the brani export inspection station and pasir panjang export inspection station for a period of 3 years,Ministry of Finance - Singapore Customs,1/10/2019,Awarded to Suppliers,FORCE 21 EQUIPMENT PTE LTD,987600
FINCEDETT19300007,this is an electronic gpacovered open tender for the provision of turnkey services to copywrite design fabricate and install the singapore customs gallery located on level 1 within the new customs operations command building at 1 bulim drive singapore 648171,Ministry of Finance - Singapore Customs,5/8/2019,Awarded to Suppliers,D'PERCEPTION RITZ PTE. LTD.,200193.75
FINCEDETT19300008,this is an electronic gpacovered open tender for the provision of renovation and alteration works for singapore customs offices at revenue house,Ministry of Finance - Singapore Customs,1/8/2019,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,1399528.6
FINCEDETT19300009,this is an electronic gpacovered open tender for the provision of renovation and fitout works for singapore customs targeting centre,Ministry of Finance - Singapore Customs,5/9/2019,Awarded to Suppliers,ASPACIO DESIGN ASSOCIATES PTE LTD,82800
FINCEDETT19300010,this is an electronic gpacovered open tender for the supply registration and delivery of six 6 units of motor vehicles for singapore customs,Ministry of Finance - Singapore Customs,29/8/2019,Awarded by Items,CYCLE & CARRIAGE KIA PTE LTD,80000
FINCEDETT19300011,this is an electronic gpacovered open tender for reinstatement works for singapore customs premises at keppel road,Ministry of Finance - Singapore Customs,23/9/2019,Awarded to Suppliers,I-LOGIC CONCEPTS PTE. LTD.,309780
FINCEDETT19300012,this is an electronic gpacovered open tender for the supply installation and commissioning of an integrated nonintrusive cargo inspection portal system with options for maintenance for three years,Ministry of Finance - Singapore Customs,9/4/2020,Awarded to Suppliers,NUCTECH SINGAPORE PRIVATE LIMITED,5357300
FINCEDETT19300013,this is an electronic gpa covered open tender for the provision of storage space to store seized and forfeited motor vehicles by singapore customs for a period of two 2 years with an option to extend for one 1 year after the second year,Ministry of Finance - Singapore Customs,3/2/2020,Awarded to Suppliers,LEGEND SHIPMANAGEMENT PTE. LTD.,649980
FINCEDETT19300014,for the supply delivery installation testing commissioning of a fully operational international connectivity system with an option for maintenance,Ministry of Finance - Singapore Customs,21/8/2020,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,4419124
FINCEDETT19300015,this is an electronic gpacovered open tender for provision of an integrated command centre system and related maintenance services for singapore customs at the brani export inspection station and pasir panjang export inspection station for a period of 5 years with option to extend for 1 year,Ministry of Finance - Singapore Customs,26/8/2020,Awarded to Suppliers,NUCTECH SINGAPORE PRIVATE LIMITED,1286471
FINCEDETT19300017,for the provision of system and middleware administration and maintenance software and hardware maintenance and support services for central service infrastructure csi for singapore customs,Ministry of Finance - Singapore Customs,22/6/2020,Awarded to Suppliers,NCS PTE. LTD.,19245982
FINCEDETT20300001,this is an electronic gpacovered open tender for the provision of warehouse storage services for case exhibits and other related services for a period of 2 years with an option to extend for 1 year for singapore customs,Ministry of Finance - Singapore Customs,17/3/2020,Awarded to Suppliers,GEODIS LOGISTICS SINGAPORE PTE. LTD.,190488
FINCEDETT20300002,this is an electronic gpacovered open tender for the supply and delivery of uniforms for customers service associates for singapore customs for a period of 3 years with options to extend for 2 additional years,Ministry of Finance - Singapore Customs,13/10/2020,Awarded to Suppliers,NICE THOT PTE. LTD.,189518.4
FINCEDETT20300003,this is an electronic gpacovered open tender for the supply registration and delivery of two 2 units of motor vehicles for singapore customs,Ministry of Finance - Singapore Customs,10/6/2020,Awarded by Items,CYCLE & CARRIAGE KIA PTE LTD,40000
FINCEDETT20300004,for the provision of application development and maintenance services for identity and access management system for singapore customs,Ministry of Finance - Singapore Customs,24/7/2020,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,149898
FINCEDETT20300007,this is an electronic gpacovered open tender for the provision of integrated facilities management and fire safety manager at site offices of singapore customs for a period of two 2 years with an option to extend for one 1 year,Ministry of Finance - Singapore Customs,6/10/2020,Awarded to Suppliers,CBRE GWS PTE. LTD.,601086.78
FINCEDETT20300008,this is an electronic gpacovered open tender for the supply registration and delivery of two 2 units of motor vehicles for singapore customs,Ministry of Finance - Singapore Customs,26/10/2020,Awarded to Suppliers,KOMOCO MOTORS PTE LTD,106800
FINCEDETT20300009,this is an electronic gpacovered open tender for the renovation and alteration works for singapore customs offices at tuas megaport,Ministry of Finance - Singapore Customs,30/12/2020,Awarded to Suppliers,D'ASSOCIATES CONSTRUCTION PTE LTD,567130
FINCEDETT20300010,tender for the provision of destruction services for liquid case exhibits for singapore customs for a period of two 2 years with an option to extend for one 1 year,Ministry of Finance - Singapore Customs,1/3/2021,Awarded to Suppliers,CHEM-SOLV TECHNOLOGIES PTE LTD.,319500
FINCEDETT20300011,tender for the provision of application development and maintenance services for an email and records management system for singapore customs,Ministry of Finance - Singapore Customs,24/9/2021,Awarded to Suppliers,SWIFTX SOLUTIONS PTE. LTD.,1605010
FINCEDETT20300012,this is an electronic gpacovered open tender for the provision of firearms training for singapore customs for a period of two years with an option to extend for one year,Ministry of Finance - Singapore Customs,4/2/2021,Awarded to Suppliers,AETOS TRAINING ACADEMY PTE. LTD.,154590
FINVITETT18300012,supply and installation of audio visual equipment portable public address systems and provision of related warranty and maintenance services for a period of three 3 years with an option to extend for up to three 3 months,Ministry of Finance - Vital,5/4/2019,Awarded by Items,MEDIATECHNIC SOLUTIONS PTE. LTD.,2330667.16
FINCEDETT21000001,this is an electronic gpacovered open tender for the supply delivery and installation of an internet protocol closedcircuit television cctv with maintenance services at customs site offices for 2 years with options to extend for another 4 years,Ministry of Finance - Singapore Customs,27/7/2021,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,500584
FINCEDETT21000003,for the supply delivery leasing design development customisation configuration integration installation testing and commissioning of a fully functioning integrated self service payment kiosk system with an option for maintenance,Ministry of Finance - Singapore Customs,8/3/2022,Awarded to Suppliers,RFNET TECHNOLOGIES PTE LTD,3983000
FINCEDETT21000004,for the provision of application system maintenance and support services for the networked trade platform ntp for singapore customs,Ministry of Finance - Singapore Customs,27/11/2021,Awarded to Suppliers,NCS PTE. LTD.,41539168
FINCEDETT21000005,this is an electronic gpacovered open tender for the supply delivery and installation of cigarettes shredding machines with an option to provide a 3year maintenance contract for servicing and repair of the machine after the warranty period,Ministry of Finance - Singapore Customs,29/10/2021,Awarded to Suppliers,SMARTSTRIPE MARKETING PTE LTD,93399.96
FINCEDETT21000006,for the provision of maintenance and support services for customs intelligence and investigation system c2is for singapore customs,Ministry of Finance - Singapore Customs,4/4/2022,Awarded to Suppliers,NCS PTE. LTD.,4868427
FINCEDETT21000007,migration of ecustoms application and provision of maintenance and support services for the migrated ecustoms application for singapore customs,Ministry of Finance - Singapore Customs,5/7/2022,Awarded to Suppliers,NCS PTE. LTD.,96071377
FINCEDETT21000008,this is an electronic gpacovered open tender for the provision of transportation and casual labour services for singapore customs for a period of two 2 years with an option to extend for one 1 year,Ministry of Finance - Singapore Customs,7/12/2021,Awarded to Suppliers,SYDHA MOVERS PTE. LTD.,183420
FINCEDETT21000009,tender for provision of maintenance and support services of trade statistic system,Ministry of Finance - Singapore Customs,28/4/2022,Awarded to Suppliers,TOPPAN ECQUARIA PTE. LTD.,1344700
FINCEDETT21000010,for the renewal of apigee enterprise support for the apigee software,Ministry of Finance - Singapore Customs,1/12/2021,Awarded to Suppliers,GOPOMELO PTE. LTD.,195890
FINCEDETT21000011,this is an electronic nongpa covered open tender for the provision of armed auxiliary police officers and security officers for security functions and adhoc services for singapore customs for a period of three 3 years with an option to extend the contract for up to two 2 additional years,Ministry of Finance - Singapore Customs,4/3/2022,Awarded to Suppliers,AETOS SECURITY MANAGEMENT PTE. LTD.,8769388
FINCEDETT21000012,this is an electronic gpacovered open tender for the provision of cleaning and pest control services at singapore customs office premises located in revenue house for a period of three 3 years,Ministry of Finance - Singapore Customs,8/3/2022,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,226800
FINCEDETT21000013,this is an electronic gpacovered open tender for the provision of testing and evaluation services for three xray scanners at pasir panjang export inspection station ppeis brani export inspection station beis and tuas export inspection station teis for a period of one 1 year with the option to extend for up to two 2 years,Ministry of Finance - Singapore Customs,5/4/2022,Awarded to Suppliers,SYNERGY 4 TECH PTE. LTD.,259200
FINCEDETT21000014,this is an electronic nongpa covered open tender for the provision of auxiliary police officers enforcement and markedunmarked vans for customs field enforcement duties for a period of two 2 years with an option to extend the contract for one 1 additional year,Ministry of Finance - Singapore Customs,27/4/2022,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,4466664
FINCEDETT22000002,this is an electronic gpacovered open tender for the provision of offsite storage and archival services for paper records for singapore customs for a period of three 3 years with an option to extend for up to another three 3 years,Ministry of Finance - Singapore Customs,31/5/2022,Awarded to Suppliers,IRON MOUNTAIN SINGAPORE PTE. LTD.,179280
FINCEDETT22000003,this is an electronic gpacovered open tender for the supply registration and delivery of five 5 units of motor vehicles for singapore customs,Ministry of Finance - Singapore Customs,30/9/2022,Awarded by Items,CYCLE & CARRIAGE KIA PTE LTD,74000
FINCEDETT22000004,this is an electronic gpacovered open tender for the provision of integrated facilities management and fire safety manager at site offices of singapore customs for a period of two 2 years with an option to extend the contract for periods of up to a total of additional two 2 years,Ministry of Finance - Singapore Customs,10/2/2023,Awarded to Suppliers,CBRE GWS PTE. LTD.,2584869
FINCEDETT22000005,this is an electronic gpacovered open tender for the provision of disposal services for forfeited case exhibits for singapore customs for a period of two 2 years with options to extend the contract for up to two 2 additional years,Ministry of Finance - Singapore Customs,27/9/2022,Awarded to Suppliers,TEO BAK SOAH TRADING CO,131440
FINCEDETT22000007,this is an electronic gpacovered open tender for proposed addition and alteration works to the existing inspection bay at pasir panjang export inspection station,Ministry of Finance - Singapore Customs,9/1/2023,Awarded to Suppliers,EVERISE CONSTRUCTION PTE. LTD.,270000
FINCEDETT22000008,this is an electronic gpacovered open tender for the provision of maintenance  support services for the radiation detection initiative system at pasir panjang export inspection station for a period of five years,Ministry of Finance - Singapore Customs,7/12/2022,Awarded to Suppliers,ST ENGINEERING URBAN SOLUTIONS LTD.,399590
FINCEDETT22000009,this is an electronic gpa covered open tender for the provision of maintenance servicing and repairs for 28 units comprising 23 cars and 5 minibuses of departmental motor vehicles and adhoc services such as towing onsite recovery services and inspection of seized vehicles for concealed compartments for a period of two 2 years with options to extend the contract for up to two additional years,Ministry of Finance - Singapore Customs,31/10/2022,Awarded to Suppliers,LIM TAN MOTOR PTE LTD,178384.33
FINCEDETT22000010,provision of warehouse storage services for case exhibits and related services for a period of two years with an option to extend the contract for one additional year,Ministry of Finance - Singapore Customs,1/2/2023,Awarded to Suppliers,ST LOGISTICS PTE. LTD.,392876
FINCEDETT22000011,provision of migration of data analytics system das and provision of maintenance and support services for the migration das for singapore customs,Ministry of Finance - Singapore Customs,19/7/2023,Awarded to Suppliers,NCS PTE. LTD.,12436545
FINCEDETT22000012,provision of warehouse storage services for motor vehicles for a period of two 2 years with an option to extend the contract for one 1 additional year,Ministry of Finance - Singapore Customs,9/2/2023,Awarded to Suppliers,LEGEND SHIPMANAGEMENT PTE. LTD.,706860
FINCEDETT23000001,period contract for the supply and delivery of executive jackets to singapore customs for up to five years,Ministry of Finance - Singapore Customs,14/8/2023,Awarded to Suppliers,ACTIVECOOL FASHION PRIVATE LIMITED,36500
FINCEDETT23000002,tender for provision of brand consultancy services for singapore customs brand,Ministry of Finance - Singapore Customs,12/9/2023,Awarded to Suppliers,DIA BRAND CONSULTANTS PTE. LTD.,251500
FINCEDETT23000003,invitation to tender for the migration of bpms to cloud software as a service,Ministry of Finance - Singapore Customs,12/10/2023,Awarded to Suppliers,ATTAIN ANALYTICS GROUP PTE. LTD.,698220
FINCEDETT23000004,supply registration and delivery of two 2 units of fully electric vehicles for singapore customs,Ministry of Finance - Singapore Customs,22/9/2023,Awarded by Items,TAN CHONG MOTOR SALES PTE LTD,66390
FINCEDETT23000005,tender for provision of consultancy services to develop a comprehensive strategic workforce plan swp for singapore customs,Ministry of Finance - Singapore Customs,4/1/2024,Awarded to Suppliers,KORN FERRY (SG) PTE. LTD.,970000
FINCEDETT23000006,tender for the provision of firearms training for singapore customs for a period of 2 years with an option to extend for another year,Ministry of Finance - Singapore Customs,10/11/2023,Awarded to Suppliers,AETOS TRAINING ACADEMY PTE. LTD.,127250
FINCEDETT23000007,for the provision of oracle software licences with an option to extend the maintenance support for the oracle software for singapore customs,Ministry of Finance - Singapore Customs,6/2/2024,Awarded to Suppliers,PATH INFOTECH PTE. LTD.,164158.89
FINCEDETT23000008,for the purchase and renewal of ibm message queue mq software licences for singapore customs,Ministry of Finance - Singapore Customs,31/1/2024,Awarded to Suppliers,UNISON CONSULTING PTE. LTD.,172809
FINCEDETT23000009,tender for the provision of telecommunication services to singapore customs for two years with option to extend for up to another two years,Ministry of Finance - Singapore Customs,12/3/2024,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,236360
FINCEDETT23000010,tender for the provision of disposal services for liquid case exhibits for singapore customs for a period of 2 years with an option to extend for 1 year,Ministry of Finance - Singapore Customs,8/3/2024,Awarded to Suppliers,NSL OILCHEM WASTE MANAGEMENT PTE. LTD.,169400
FINHQ0ETT18300006,report on the tax incidence on households in singapore and selected cities,Ministry of Finance-Ministry Headquarter,26/6/2019,Awarded to Suppliers,ERNST & YOUNG SOLUTIONS LLP,380000
FINHQ0ETT19300002,dismantle supply delivery and installation of crash barrier system including disposal and provision of noncomprehensive maintenance of new and existing crash barrier system at the treasury,Ministry of Finance-Ministry Headquarter,26/9/2019,Awarded to Suppliers,ESCO PTE. LTD.,182600
FINHQ0ETT19300003,outcomebased procurement for the supply delivery installation testing and commissioning of a fully operational facial recognition system with an option for maintenance,Ministry of Finance-Ministry Headquarter,18/11/2019,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,5329739.95
FINHQ0ETT19300004,encoding and streaming services for singapore budget website,Ministry of Finance-Ministry Headquarter,26/11/2019,Awarded to Suppliers,1-NET SINGAPORE PTE LTD,333375
FINHQ0ETT20300001,invitation to tender for provision of consultancy services for installation of new lift  additions  alterations aa works to existing lift at the treasury for ministry of finance,Ministry of Finance-Ministry Headquarter,11/1/2021,Awarded to Suppliers,CASY ENGINEERING CONSULTANCY PTE. LTD.,159000
FINHQ0ETT20300002,provision of multidisciplinary consultancy services security by design for addition and alteration works at the treasury for ministry of finance,Ministry of Finance-Ministry Headquarter,16/7/2021,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.,1269500
FINHQ0ETT21000002,to audit the goods and services tax voucher gstv scheme as per the criteria of the scheme for that year the audit each year will consist of allotment audit financial statements audit and cash closure audit,Ministry of Finance-Ministry Headquarter,16/4/2021,Awarded to Suppliers,ERNST & YOUNG LLP,154200
FINHQ0ETT21000003,term contract for the provision of armed and unarmed security guards services at the treasury,Ministry of Finance-Ministry Headquarter,11/10/2021,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,11750016
FINHQ0ETT21000004,provision of telecommunication services,Ministry of Finance-Ministry Headquarter,8/2/2022,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,264737
FINVITETT19300003,itt for the provision of singapore hotel and serviced apartment room rates for a period of 14 months,Ministry of Finance - Vital,23/1/2020,Awarded by Items,"FOUR POINTS BY SHERATON SINGAPORE, RIVERVIEW",214.5
FINHQ0ETT22000003,provision of consultancy services for development and pilot of finance benchmarking framework fbf,Ministry of Finance-Ministry Headquarter,9/2/2023,Awarded to Suppliers,ACCENTURE SG SERVICES PTE. LTD.,1850000
